tick,solar-luminosity,global-temperature,population,black-number,white-number
270,0.8,34.363208736185044,480,480,0
271,0.8,34.4951034023757,493,493,0
272,0.8,34.64878424455201,493,493,0
273,0.8,34.67906406220226,498,498,0
274,0.8,34.7668427963904,492,492,0
275,0.8,34.78512008724441,483,483,0
276,0.8,34.6598925403145,473,473,0
277,0.8,34.555181541388926,476,476,0
278,0.8,34.497097078739706,482,482,0
279,0.8,34.50714152499637,473,473,0
280,0.8,34.42708421190476,469,469,0
281,0.8,34.401948187790374,461,461,0
282,0.8,34.271827806207476,453,453,0
283,0.8,34.147722089618185,441,441,0
284,0.8,33.980751513776696,427,427,0
285,0.8,33.80445020939789,429,429,0
286,0.8,33.70669942469417,440,440,0
287,0.8,33.75005371728492,432,432,0
288,0.8,33.69936267042441,426,426,0
289,0.8,33.61033665139094,415,415,0
290,0.8,33.495191989319274,406,406,0
291,0.8,33.340931640133824,409,409,0
292,0.8,33.32841918509211,415,415,0
293,0.8,33.37916822558392,419,419,0
294,0.8,33.47645159925198,418,418,0
295,0.8,33.51773526391006,415,415,0
296,0.8,33.483707998529745,415,415,0
297,0.8,33.44439695824756,410,410,0
298,0.8,33.403242709614474,419,419,0
299,0.8,33.447976781572685,415,415,0
300,0.8,33.409680261237824,422,422,0
301,0.8,33.508869577690035,422,422,0
302,0.8,33.535788080131475,429,429,0
303,0.8,33.60400796335521,437,437,0
304,0.8,33.75341912949257,443,443,0
305,0.8,33.82755040349928,451,451,0
306,0.8,33.97269787384719,463,463,0
307,0.8,34.20951346975162,471,471,0
308,0.8,34.33072644800481,481,481,0
309,0.8,34.40392988692382,474,474,0
310,0.8,34.42071205900968,475,475,0
311,0.8,34.47476121460342,483,483,0
312,0.8,34.52525473243847,488,488,0
313,0.8,34.57272013352936,486,486,0
314,0.8,34.605002684424555,490,490,0
315,0.8,34.65796084764186,492,492,0
316,0.8,34.6856103747217,485,485,0
317,0.8,34.62771623169678,486,486,0
318,0.8,34.639306634182056,485,485,0
319,0.8,34.71365322633576,495,495,0
320,0.8,34.78048363216446,503,503,0
321,0.8,34.86426866992056,510,510,0
322,0.8,34.99087777885483,503,503,0
323,0.8,34.964790762088505,500,500,0
324,0.8,34.931594274942775,502,502,0
325,0.8,34.93812815775205,504,504,0
326,0.8,34.97781393455581,506,506,0
327,0.8,34.98656432708618,501,501,0
328,0.8,34.91885836591913,488,488,0
329,0.8,34.81714393082916,495,495,0
330,0.8,34.808373056000704,495,495,0
331,0.8,34.82003486117765,492,492,0
332,0.8,34.742417165369304,477,477,0
333,0.8,34.57078447674546,472,472,0
334,0.8,34.47922798337306,483,483,0
335,0.8,34.534810026799114,479,479,0
336,0.8,34.51152179027876,484,484,0
337,0.8,34.56107804482482,496,496,0
338,0.8,34.67878842789346,499,499,0
339,0.8,34.770083758564084,496,496,0
340,0.8,34.806159559858806,502,502,0
341,0.8,34.902765589942305,502,502,0
342,0.8,34.94926224963468,498,498,0
343,0.8,34.9259305713145,487,487,0
344,0.8,34.876566318281164,481,481,0
345,0.8,34.74852210264709,475,475,0
346,0.8,34.6391250175843,473,473,0
347,0.8,34.61281047809356,483,483,0
348,0.8,34.69427020168179,485,485,0
349,0.8,34.69097761370166,470,470,0
350,0.8,34.614407826224166,465,465,0
351,0.8,34.58265951612018,475,475,0
352,0.8,34.57687162786056,482,482,0
353,0.8,34.610385043187435,465,465,0
354,0.8,34.47043879132693,457,457,0
355,0.8,34.39600269705878,455,455,0
356,0.8,34.26766487866122,457,457,0
357,0.8,34.24826465600638,469,469,0
358,0.8,34.35718353140222,460,460,0
359,0.8,34.36800691244737,465,465,0
360,0.8,34.35621314083833,461,461,0
361,0.8,34.348798711962715,454,454,0
362,0.8,34.232650458442116,447,447,0
363,0.8,34.1396747171622,445,445,0
364,0.8,34.06872892306109,438,438,0
365,0.8,33.944381968222814,433,433,0
366,0.8,33.866874344032496,433,433,0
367,0.8,33.798326221839424,428,428,0
368,0.8,33.741959032407784,421,421,0
369,0.8,33.670230481259956,422,422,0
370,0.8,33.66941150920545,422,422,0
371,0.8,33.614997222546414,419,419,0
372,0.8,33.55636748865008,410,410,0
373,0.8,33.52577232315622,423,423,0
374,0.8,33.52460132480635,411,411,0
375,0.8,33.43061906196786,405,405,0
376,0.8,33.32283559069823,404,404,0
377,0.8,33.29970906343166,415,415,0
378,0.8,33.377091178089934,416,416,0
379,0.8,33.431711978641246,415,415,0
380,0.8,33.472377755609685,426,426,0
381,0.8,33.57688096263108,425,425,0
382,0.8,33.570585644344085,430,430,0
383,0.8,33.60354015845356,429,429,0
384,0.8,33.625436147105404,439,439,0
385,0.8,33.706704855651196,439,439,0
386,0.8,33.73764556473325,439,439,0
387,0.8,33.80635708815634,448,448,0
388,0.8,33.87363483527098,453,453,0
389,0.8,33.961618583206075,453,453,0
390,0.8,33.9947758599463,459,459,0
391,0.8,34.044442792138625,462,462,0
392,0.8,34.143618924338476,470,470,0
393,0.8,34.25533810416223,468,468,0
394,0.8,34.29172938936251,475,475,0
395,0.8,34.35710494426412,465,465,0
396,0.8,34.30922100698726,473,473,0
397,0.8,34.372563915137626,469,469,0
398,0.8,34.381243021978165,472,472,0
399,0.8,34.4207636693129,464,464,0
400,0.8,34.3566574960311,467,467,0
401,0.8,34.33877419826179,457,457,0
402,0.8,34.21140639778357,456,456,0
403,0.8,34.26098928727266,467,467,0
404,0.8,34.28985203140251,459,459,0
405,0.8,34.3624463595835,467,467,0
406,0.8,34.375423418864806,463,463,0
407,0.8,34.33019978412589,472,472,0
408,0.8,34.366171321932065,465,465,0
409,0.8,34.36132730258543,471,471,0
410,0.8,34.38376897333199,478,478,0
411,0.8,34.49222956734676,474,474,0
412,0.8,34.51498154574618,472,472,0
